frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,angular_vel_dps,vx_mm_s,vy_mm_s,speed_mm_s
12,0.0999996,546.1671752929688,615.9356689453125,364.1114501953125,410.623779296875,85.68397521972656,0.6666666666666666,-62.221883138020814,134.47281901041669,86.21094512939453,-12.438404245804488,-871.8325888928564,1186.4490817338274,1472.3292724803994
13,0.1083329,545.6636352539062,627.4889526367188,363.7757568359375,418.32596842447913,86.18592071533203,0.6666666666666666,-62.557576497395814,142.17500813802081,86.08140106201174,-6.208362235792494,-489.5029345742387,1011.1749431372722,1123.4268505717037
14,0.1166662,537.6098022460938,619.9390258789062,358.40653483072913,413.2926839192708,86.49646759033203,0.6666666666666666,-67.92679850260419,137.1417236328125,86.07225646972657,0.4666278430739399,-207.29672762441044,642.5982735180944,675.206986347316
15,0.1249995,535.1261596679688,625.84375,356.75077311197913,417.22916666666663,85.98582458496094,0.6666666666666666,-69.58256022135419,141.07820638020831,86.15536193847657,4.536565997826769,-189.54568005772018,8.926793519673822,189.75577058705358
16,0.1333328,534.314697265625,626.2106323242188,356.2097981770833,417.4737548828125,86.00909423828125,0.6666666666666666,-70.12353515625,141.32279459635419,86.25780334472658,14.96384159364748,-209.81724551898242,-466.2401462105841,511.2760022293632
17,0.1416661,534.3206176757812,616.4935913085938,356.2137451171875,410.9957275390625,86.09950256347656,0.6666666666666666,-70.11958821614581,134.84476725260419,86.39996795654298,23.966550944328915,-101.61075800553199,-903.587598725396,909.2828463755302
18,0.1499994,532.5501098632812,598.3490600585938,355.0334065755208,398.8993733723958,86.69812774658203,0.6666666666666666,-71.2999267578125,122.7484130859375,86.70489196777345,32.60795513885166,-4.991230902423247,-1609.5728445413772,1609.580583341804
19,0.1583327,531.2591552734375,563.4650268554688,354.17277018229163,375.64335123697913,87.20729064941406,0.6666666666666666,-72.16056315104169,99.49239095052081,87.07085876464845,38.76270387894004,-4.829120878984082,-2092.7320037405157,2092.737575494896
20,0.166666,534.814208984375,525.245849609375,356.5428059895833,350.1638997395833,87.51044464111328,0.6666666666666666,-69.79052734375,74.012939453125,87.51402130126954,40.42439265460173,-26.45030111370506,-2323.550798109444,2323.701342647983
21,0.1749993,534.0128784179688,495.4154052734375,356.00858561197913,330.2769368489583,87.83892822265625,0.6666666666666666,-70.32474772135419,54.1259765625,87.87290954589844,33.6035401758792,-9.387732863432085,-2293.5379827456823,2293.5571952374435
22,0.18333259999999998,532.66748046875,471.2722473144531,355.1116536458333,314.1814982096354,88.31531524658203,0.6666666666666666,-71.2216796875,38.030537923177064,88.08431091308594,23.740927483240775,30.461059344237714,-1758.3727561472735,1758.6365814736519
23,0.1916659,531.96337890625,455.0035095214844,354.64225260416663,303.3356730143229,88.49256896972656,0.6666666666666666,-71.69108072916669,27.184712727864564,88.10503387451172,9.241589700733691,24.842872808990684,-936.1453461438863,936.4749208794971
24,0.1999992,533.1629638671875,453.5671691894531,355.4419759114583,302.37811279296875,88.26429748535156,0.6666666666666666,-70.891357421875,26.227152506510436,88.0600601196289,-5.5411232387114975,84.37924376697552,-265.15779891244637,278.2597978558527
25,0.2083325,536.3668823242188,466.73699951171875,357.57792154947913,311.15799967447913,87.61405944824219,0.6666666666666666,-68.75541178385419,35.007039388020814,87.89908599853516,-16.02296448248265,128.09230924423696,256.45756879902626,286.66727103356
26,0.2166658,539.2865600585938,478.8431091308594,359.5243733723958,319.2287394205729,87.61405944824219,0.6666666666666666,-66.8089599609375,43.077779134114564,87.64203033447266,-20.331013941242922,191.87186123744496,604.3827886249053,634.1083238065388
