frame,t_s,x_px,y_px,vx_px_s,vy_px_s
74,2.4706550580431177,259.0,372.5,-59.90314168632808,-44.92735626474606
75,2.504042288557214,259.0,372.5,0.0,0.0
76,2.5374295190713103,259.0,372.5,0.0,0.0
77,2.5708167495854064,259.0,372.5,0.0,0.0
78,2.6042039800995025,259.0,373.5,0.0,29.95157084316404
79,2.6375912106135986,257.0,373.0,-59.90314168632808,-14.97578542158202
80,2.6709784411276947,257.0,372.0,0.0,-29.95157084316404
81,2.704365671641791,257.0,373.5,0.0,44.92735626474606
82,2.7377529021558873,257.0,373.5,0.0,0.0
83,2.7711401326699834,257.0,372.5,0.0,-29.95157084316404
84,2.8045273631840795,257.0,373.0,0.0,14.97578542158202
85,2.8379145936981756,256.0,374.0,-29.95157084316404,29.95157084316404
86,2.871301824212272,256.0,373.0,0.0,-29.95157084316404
87,2.904689054726368,256.0,372.5,0.0,-14.97578542158202
88,2.9380762852404643,256.0,372.5,0.0,0.0
89,2.9714635157545604,256.0,372.5,0.0,0.0
90,3.004850746268657,256.0,373.0,0.0,14.97578542158202
91,3.038237976782753,256.0,373.0,0.0,0.0
92,3.071625207296849,255.0,373.0,-29.95157084316404,0.0
93,3.105012437810945,255.0,373.5,0.0,14.97578542158202
94,3.1383996683250412,255.0,373.0,0.0,-14.97578542158202
95,3.171786898839138,254.0,374.0,-29.95157084316404,29.95157084316404
96,3.205174129353234,253.5,374.5,-14.97578542158202,14.97578542158202
97,3.23856135986733,253.5,373.5,0.0,-29.95157084316404
98,3.271948590381426,253.5,373.5,0.0,0.0
99,3.3053358208955226,253.5,373.0,0.0,-14.97578542158202
100,3.3387230514096187,253.0,381.0,-14.97578542158202,239.6125667453123
101,3.3721102819237148,252.0,373.0,-29.95157084316404,-239.6125667453123
102,3.405497512437811,252.0,374.0,0.0,29.95157084316404
103,3.438884742951907,252.0,373.5,0.0,-14.97578542158202
104,3.4722719734660035,252.0,372.5,0.0,-29.95157084316404
105,3.5056592039800996,252.0,373.5,0.0,29.95157084316404
106,3.5390464344941956,252.0,373.5,0.0,0.0
