frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s
1156,9.633333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1157,9.641666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1158,9.65,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1159,9.658333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1160,9.666666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1161,9.675,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1162,9.683333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1163,9.691666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1164,9.7,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1165,9.708333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1166,9.716666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1167,9.725,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1168,9.733333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1169,9.741666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1170,9.75,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1171,9.758333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1172,9.766666666666667,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1173,9.775,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1174,9.783333333333333,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1175,9.791666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1176,9.8,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1177,9.808333333333334,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1178,9.816666666666666,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
1179,9.825,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0
