time_s,25k_50k_84.88deg
1.20E-05,0.133857299
1.21E-05,0.134683815
1.21E-05,0.135519049
1.21E-05,0.136362955
1.21E-05,0.137215484
1.21E-05,0.138076587
1.22E-05,0.138946214
1.22E-05,0.139824317
1.22E-05,0.140710844
1.22E-05,0.141605745
1.22E-05,0.142508969
1.23E-05,0.143420465
1.23E-05,0.14434018
1.23E-05,0.145268062
1.23E-05,0.146204057
1.23E-05,0.147148112
1.24E-05,0.148100174
1.24E-05,0.149060188
1.24E-05,0.150028099
1.24E-05,0.151003852
1.24E-05,0.151987391
1.25E-05,0.15297866
1.25E-05,0.153977602
1.25E-05,0.154984161
1.25E-05,0.155998279
1.25E-05,0.157019897
1.26E-05,0.158048959
1.26E-05,0.159085404
1.26E-05,0.160129174
1.26E-05,0.16118021
1.26E-05,0.16223845
1.27E-05,0.163303835
1.27E-05,0.164376304
1.27E-05,0.165455795
1.27E-05,0.166542247
1.27E-05,0.167635598
1.28E-05,0.168735785
1.28E-05,0.169842746
1.28E-05,0.170956416
1.28E-05,0.172076733
1.28E-05,0.173203632
1.29E-05,0.174337048
1.29E-05,0.175476918
1.29E-05,0.176623175
1.29E-05,0.177775754
1.29E-05,0.178934588
1.30E-05,0.180099613
1.30E-05,0.18127076
1.30E-05,0.182447962
1.30E-05,0.183631153
1.30E-05,0.184820264
1.31E-05,0.186015227
1.31E-05,0.187215973
1.31E-05,0.188422433
1.31E-05,0.189634538
1.31E-05,0.190852219
1.32E-05,0.192075405
1.32E-05,0.193304025
1.32E-05,0.19453801
1.32E-05,0.195777288
1.32E-05,0.197021788
1.33E-05,0.198271438
1.33E-05,0.199526165
1.33E-05,0.200785899
1.33E-05,0.202050565
1.33E-05,0.203320091
1.34E-05,0.204594403
1.34E-05,0.205873428
1.34E-05,0.207157092
1.34E-05,0.20844532
1.34E-05,0.209738039
1.35E-05,0.211035172
1.35E-05,0.212336645
1.35E-05,0.213642383
1.35E-05,0.214952309
1.35E-05,0.216266347
1.36E-05,0.217584422
1.36E-05,0.218906456
1.36E-05,0.220232373
1.36E-05,0.221562095
1.36E-05,0.222895545
1.37E-05,0.224232644
1.37E-05,0.225573316
1.37E-05,0.226917482
1.37E-05,0.228265063
1.37E-05,0.229615981
1.38E-05,0.230970156
1.38E-05,0.232327509
1.38E-05,0.23368796
1.38E-05,0.235051431
1.38E-05,0.23641784
1.39E-05,0.237787108
1.39E-05,0.239159153
1.39E-05,0.240533896
1.39E-05,0.241911256
1.39E-05,0.24329115
1.40E-05,0.244673498
1.40E-05,0.246058218
1.40E-05,0.247445229
1.40E-05,0.248834448
1.40E-05,0.250225792
1.41E-05,0.251619181
1.41E-05,0.25301453
1.41E-05,0.254411757
1.41E-05,0.25581078
1.41E-05,0.257211514
1.42E-05,0.258613877
1.42E-05,0.260017784
1.42E-05,0.261423153
1.42E-05,0.262829899
1.42E-05,0.264237938
1.43E-05,0.265647186
1.43E-05,0.267057558
1.43E-05,0.26846897
1.43E-05,0.269881337
1.43E-05,0.271294574
1.44E-05,0.272708597
1.44E-05,0.274123319
1.44E-05,0.275538656
1.44E-05,0.276954522
1.44E-05,0.278370832
1.45E-05,0.279787499
1.45E-05,0.281204439
1.45E-05,0.282621564
1.45E-05,0.28403879
1.45E-05,0.285456029
1.46E-05,0.286873195
1.46E-05,0.288290202
1.46E-05,0.289706964
1.46E-05,0.291123394
1.46E-05,0.292539404
1.47E-05,0.293954909
1.47E-05,0.295369821
1.47E-05,0.296784053
1.47E-05,0.298197519
1.47E-05,0.299610131
1.48E-05,0.301021801
1.48E-05,0.302432443
