frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps,pid_error,pid_output,ch1_voltage,ch2_voltage
1801,14.916729599999599,271.49064683368886,198.49118829898043,57.021400952774066,41.689265415180685,0.22514687263904065,0.2100308118080566,0.4133347988062752,34.77072291008949,1.4067176602487261,-10.270609628095997,12.240422361104049,15.978528145951184,-240.53848686698143,,0.0,1.2,1.2
1802,14.928215199999613,271.24898159367615,198.23842817826073,56.9706438062284,41.63617800183322,0.045029374527808134,0.2100308118080566,0.36257765226061167,34.82381032343695,0.2813435320497452,-8.672989032211545,7.068200633148947,11.188395726971267,-133.84953823149243,,0.0,1.2,1.2
1803,14.931491899999855,270.9652223881651,198.14623881946753,56.91104562993691,41.61681539596582,0.009005874905561628,0.2100308118080566,0.3029794759691171,34.84317292930435,0.056268706409949056,-10.526789326941955,6.382896020709588,12.310753638384993,-108.47547940170755,,0.0,1.2,1.2
1804,14.947769200000039,270.7132599427444,198.12962305935906,56.85812575298006,41.613325574381435,0.0018011749811123257,0.2100308118080566,0.2500595990122676,34.84666275088874,0.011253741281989811,-8.48608580165049,2.978336757244664,8.993561145204312,-34.45612842604288,-0.0018011749811123257,0.130830863137797,1.2,1.2
1805,14.95118360000015,270.5071266311939,198.0751494477011,56.814831406214424,41.6018844375028,0.00036023499622246517,0.2100308118080566,0.20676525224663322,34.85810388776738,0.0022484427524221387,-8.161287080876708,2.960085359765612,8.68151554474124,-14.86448673357328,,0.0,1.2,1.2
1806,14.9598890999996,270.34582157479065,198.04219052964987,56.780952374269305,41.59496204918818,7.204699924449304e-05,0.2100308118080566,0.17288622030151402,34.86502627608199,0.00044729082634957095,-4.756094238670674,3.0300659570960558,5.639302449015199,-1.1274810843829317,,0.0,1.2,1.2
1808,14.975482799999554,270.13829208633945,197.70580005507577,56.737364787335785,41.524309684728884,2.8818799697797217e-06,0.2100308118080566,0.12929863336799485,34.93567864054129,8.706044113505749e-05,-4.249938166464002,5.681599816824481,7.095248473260635,-0.5751586282831891,,0.0,1.2,1.2
1810,14.991659499999514,270.0487547971443,197.2237218021483,56.71855919779903,41.42305839791152,1.1527519879118888e-07,0.2100308118080566,0.11049304383124081,35.036929927358656,1.5013626330882505e-05,-1.6672749871898875,6.527260031203577,6.736833781373617,-0.047676254134869915,,0.0,1.2,1.2
1811,14.99536050000006,270.03606107477435,196.98632748422847,56.71589312498481,41.3731982766002,2.3055039758237778e-08,0.2100308118080566,0.10782697101701899,35.086790048669975,6.042633700475088e-07,-0.8047673159677291,7.349096876133114,7.39302883314,-0.0062970036472782525,,0.0,1.2,1.2
1813,15.01183729999957,270.05437021121634,196.39174743462218,56.71973860777523,41.248318146096516,9.222015903295113e-10,0.2100308118080566,0.11167245380743651,35.21167017917366,2.789475370428705e-08,0.05545983555433365,8.687486141817256,8.68766316437433,-0.001677015984850218,,0.0,1.2,1.2
1814,15.023926799999572,270.07859499421033,196.1094496150032,56.72482655861333,41.18902690587029,1.8444031806590226e-10,0.2100308118080566,0.1167604046455395,35.27096141939988,4.841189468593802e-09,0.4114542452546964,8.359297431196278,8.369417431287724,-0.0007862711322048233,,0.0,1.2,1.2
1815,15.028187099999741,270.10914154640415,195.88180500018635,56.73124227576853,41.14121452261658,3.688806361318045e-11,0.2100308118080566,0.12317612180073922,35.318773802653595,2.302405378480271e-10,0.7512439841362183,6.710097460071331,6.7520201012257495,-7.597563855788463e-06,,0.0,1.2,1.2
1816,15.03995599999962,270.143740464726,195.62303151127705,56.73850911467136,41.086864116666554,7.377612722636091e-12,0.2100308118080566,0.13044296070356864,35.37312420860362,4.580258061819609e-11,0.8972702705450545,5.773224844845022,5.842535327025402,-6.015341958702757e-07,,0.0,1.2,1.2
1818,15.05587420000029,270.2179071188891,195.22694873153978,56.75408639725432,41.00367452889515,2.951045089054437e-13,0.2100308118080566,0.14602024328652874,35.45631379637503,8.91498917222989e-12,1.1963057029099673,6.393596737327128,6.50455429482874,-2.202333109942608e-07,,0.0,1.2,1.2
1820,15.071642799999609,270.29024578184465,195.00961524207133,56.76927974535998,40.95802779966901,1.1804180356217749e-14,0.2100308118080566,0.16121359139219038,35.50196052560116,1.537470883036649e-12,0.9980187984592835,4.276164624874912,4.391084765876163,-3.773018847944803e-09,,0.0,1.2,1.2
